#volume(A^3/atom) P(kBar) E(eV/atom) T(k)
18.300000 43.328650 -3.287561 1406.370000
18.300000 25.251300 -3.389670 996.667000
18.300000 33.708700 -3.338640 1209.070000
15.040770 258.150750 -2.929558 2399.991000
15.040770 263.182380 -2.902708 2501.153000
15.040770 272.832350 -2.848512 2693.263000
15.040770 280.747210 -2.803600 2897.362000
12.200610 751.681980 -1.814157 4485.203000
12.200610 775.732750 -1.681094 4999.447000
12.200610 801.697200 -1.541908 5492.503000
12.200610 822.888460 -1.417161 5995.852000
10.489560 1326.903500 -0.605489 5988.616000
10.489560 1357.725340 -0.458303 6481.621000
10.489560 1375.575510 -0.341803 6996.571000
9.730110 1699.572160 0.095773 6499.310000
9.730110 1717.277280 0.199629 6971.841000
9.730110 1751.246910 0.362639 7485.293000
9.730110 1773.018120 0.485714 7980.555000
9.530640 1833.098150 0.398484 6971.303000
9.530640 1885.184410 0.670468 7984.847000
7.629270 3559.041400 3.376686 8464.402000
7.629270 3618.070550 3.656612 9465.746000
7.629270 3669.613650 3.916484 10455.179000
7.629270 3733.667910 4.222032 11449.095000
18.300000 30.853550 -3.360996 1097.684000
18.300000 38.493515 -3.314856 1300.211500
12.200610 728.487820 -1.943512 3995.914000
10.489560 1302.890460 -0.741933 5485.337333
10.489560 1395.194747 -0.229881 7478.604000
9.730110 1670.275533 -0.049762 5990.891333
9.530640 1784.731433 0.148534 5989.758667
9.530640 1867.479713 0.566537 7474.013333
7.629270 3532.091627 3.248837 7971.199333
8.500350 2386.560000 0.769863 4523.200000
8.500350 2420.290000 0.919629 5020.740000
8.500350 2448.950000 1.058390 5471.790000
13.499910 462.139000 -2.510820 3196.920000
13.499910 467.314000 -2.480060 3303.470000
13.499910 472.190000 -2.454530 3397.550000
13.499910 476.973000 -2.427040 3496.290000


