#volume(A^3/atom) P(kBar) E(eV/atom) T(k)
18.300000 -16.101010 -3.502318 798.916000
18.300000 -9.762170 -3.470560 916.101000
18.300000 -6.299720 -3.451211 994.699000
15.040770 186.329440 -3.181946 1999.910000
15.040770 196.157840 -3.129482 2200.013000
12.200610 615.922420 -2.367480 3499.106000
12.200610 642.892220 -2.228452 3991.156000
10.489560 1141.964920 -1.399906 4495.303000
10.489560 1169.216850 -1.261183 4975.008000
10.489560 1196.972240 -1.115147 5497.563000
9.730110 1528.286960 -0.618061 5494.979000
9.730110 1555.235020 -0.477939 5986.781000
9.530640 1633.244930 -0.463390 5480.158000
9.530640 1687.270070 -0.185845 6480.887000
9.530640 1749.938970 0.126818 7496.700000
7.629270 3317.590000 2.241317 6483.025000
7.629270 3371.724390 2.513945 7463.726000
18.300000 -19.298140 -3.515569 750.014000
18.300000 -22.234955 -3.530376 694.993500
15.040770 179.555495 -3.212648 1899.196000
15.040770 175.435575 -3.237524 1802.117000
15.040770 169.702385 -3.265183 1698.826000
12.200610 590.498040 -2.501102 2995.038500
12.200610 577.282725 -2.569468 2745.244000
12.200610 565.476360 -2.633845 2493.848500
10.489560 1115.990800 -1.532382 3994.423000
10.489560 1090.232615 -1.667327 3495.593500
9.730110 1501.786525 -0.755780 4985.857500
9.730110 1474.793255 -0.896348 4484.984500
9.730110 1448.314510 -1.029646 3987.730500
9.530640 1607.185555 -0.592892 4991.111000
9.530640 1554.204700 -0.869028 3989.972500
7.629270 3343.835820 2.383395 6978.445500
7.629270 3289.216545 2.105498 5977.443500
7.629270 3262.125530 1.967440 5478.278000
8.500350 2286.100000 0.315340 4372.330000
8.500350 2315.030000 0.463530 4906.300000
8.500350 2346.870000 0.623645 5501.070000
8.500350 2375.340000 0.763134 5975.200000
13.499910 330.155000 -3.057290 1908.120000
13.499910 335.416000 -3.029000 2026.520000
13.499910 339.686000 -3.006430 2104.740000
13.499910 346.043000 -2.976390 2201.480000


