#volume(A^3/atom) P(kBar) E(eV/atom) T(k)
11.754600 120.227319 -4.922683 4991.763125
11.754600 45.795275 -5.430124 3243.694375
11.754600 72.151215 -5.269092 3744.630208
11.754600 92.667748 -5.130238 4243.338750
11.754600 100.354248 -5.055565 4494.187917
10.864100 187.992833 -4.953614 4989.737917
10.864100 234.112792 -4.668608 5988.513958
10.864100 155.211488 -5.169199 4241.938333
10.864100 169.550352 -5.090254 4490.965833
10.864100 177.609929 -5.026129 4741.339792
10.302400 297.000829 -4.672650 5989.073750
10.302400 346.366415 -4.380680 6985.531667
10.302400 262.263677 -4.885678 5239.441875
10.302400 272.553802 -4.818821 5488.491458
10.302400 286.151925 -4.742080 5736.411250
9.329700 451.208377 -4.642577 5985.725625
9.329700 508.046192 -4.339900 6982.820833
9.329700 410.231200 -4.851497 5237.499792
9.329700 424.909850 -4.792877 5486.450625
8.781700 637.601225 -4.291423 6981.726875
8.781700 693.508254 -3.992550 7978.918125
8.781700 592.325935 -4.506951 6234.478333
8.000800 1022.537840 -3.519073 8970.499167
8.000800 1083.373550 -3.231249 9968.859375
8.000800 973.873221 -3.744496 8223.507708
8.000800 993.480898 -3.674825 8472.679375
8.000800 1005.805646 -3.594242 8721.849167
12.754700 -41.069440 -5.754701 1994.037333
12.754700 -15.091033 -5.594173 2495.475333
12.754700 4.120180 -5.426637 2994.294667
12.754700 22.209427 -5.287704 3496.592667
12.754700 27.401767 -5.212907 3743.593333
12.754700 38.349327 -5.143507 3998.269333
12.754700 -41.069440 -5.754701 1994.037333
12.754700 -15.091033 -5.594173 2495.475333
12.754700 4.120180 -5.426637 2994.294667
12.754700 22.209427 -5.287704 3496.592667
12.754700 27.401767 -5.212907 3743.593333
12.754700 38.349327 -5.143507 3998.269333
13.453400 -44.223653 -5.705589 1992.583333
13.453400 -24.916420 -5.537649 2496.978000
13.453400 -10.795993 -5.383929 2994.168000
13.453400 0.324367 -5.237734 3496.010000
13.453400 6.105887 -5.174401 3744.064667
7.151400 1415.386034 -3.412365 8240.730000
7.151400 1417.850621 -3.368412 8488.658421
7.151400 1451.078337 -3.258152 8740.697105
7.151400 1460.419526 -3.193476 8991.421842
7.151400 1529.599737 -2.903626 9994.487895
6.863700 1729.162666 -2.776462 9783.740857
6.863700 1742.038823 -2.717777 10090.676000
6.863700 1768.597369 -2.627761 10387.308286
6.863700 1789.516940 -2.502551 10688.531714
6.863700 1815.341791 -2.415333 10989.202571
