#volume(A^3/atom) P(kBar) E(eV/atom) T(k)
11.754600 -176.677871 -6.169896 998.298125
11.754600 -123.953735 -5.928652 1999.437083
11.754600 -71.112533 -5.681897 2995.101458
11.754600 -98.705629 -5.808383 2496.430208
11.754600 -84.384250 -5.745898 2745.950417
10.864100 -37.414815 -5.808210 2994.591458
10.864100 21.832810 -5.542917 3993.235000
10.864100 -10.034629 -5.682101 3495.183958
10.864100 4.572910 -5.616718 3744.531250
10.864100 42.692431 -5.458020 4244.199375
10.302400 2.673669 -5.871944 2997.446042
10.302400 63.321973 -5.610338 3993.396875
10.302400 100.823144 -5.454728 4492.717083
10.302400 117.652381 -5.384816 4741.554583
9.329700 118.246769 -5.946371 2993.401250
9.329700 178.653392 -5.689582 3992.492292
9.329700 242.857654 -5.420742 4991.162917
9.329700 206.973458 -5.560015 4490.274792
9.329700 225.470233 -5.487391 4740.289167
8.781700 347.867315 -5.431959 4989.043542
8.781700 410.940596 -5.163154 5984.862917
8.781700 378.288110 -5.297960 5487.751250
8.781700 395.154473 -5.226466 5734.370000
8.781700 423.012013 -5.092008 6233.548333
8.000800 633.647150 -5.096223 5985.435417
8.000800 714.050104 -4.799394 6980.613542
8.000800 721.869204 -4.746805 7227.790625
7.151400 1037.179158 -4.874838 5978.501042
7.151400 1108.932454 -4.603623 6974.255417
7.151400 1145.255346 -4.468631 7471.952292
7.151400 1207.641658 -4.236697 7990.159211
6.863700 1375.222669 -4.200735 7985.868286
6.863700 1397.951934 -4.102169 8287.958571
6.863700 1417.743480 -4.024236 8592.256857
6.863700 1464.058311 -3.852311 9184.367143
