#volume(A^3/atom) P(kBar) E(eV/atom) T(k)
14.166860 456.955000 0.428669 650.457000
14.166860 456.996000 0.442175 703.322000
14.166860 457.355000 0.455347 748.652000
14.166860 457.320000 0.470079 798.601000
14.482644 429.838000 0.367183 695.592000
14.482644 429.932000 0.382364 746.119000
14.482644 430.034000 0.396941 795.542000
14.668167 414.931000 0.334149 746.513000
14.668167 415.297000 0.345898 795.705000
14.668167 415.521000 0.360541 845.896000
14.668167 415.715000 0.374371 895.549000
14.668167 416.020000 0.387232 945.044000
15.291840 368.233000 0.169205 696.787000
15.291840 368.671000 0.182174 746.478000
15.291840 369.300000 0.195057 795.857000
15.291840 370.098000 0.223215 894.813000
15.915514 329.577000 0.060639 796.338000
15.915514 330.162000 0.076123 845.976000
15.915514 330.708000 0.089131 896.253000
15.915514 331.052000 0.102408 946.075000
16.689184 288.813000 -0.042013 956.069000
16.689184 289.399000 -0.027899 999.532000
16.689184 290.063000 -0.013507 1053.400000
16.689184 290.705000 -0.001930 1098.390000
16.689184 288.242000 -0.058435 898.197000
17.419435 254.110000 -0.175193 900.645000
17.419435 254.762000 -0.159054 953.552000
17.419435 255.491000 -0.148227 996.141000
17.419435 255.824000 -0.133896 1051.960000
17.419435 256.545000 -0.123958 1095.200000
19.310192 186.132000 -0.417423 901.299000
19.310192 186.684000 -0.409209 948.519000
19.310192 187.600000 -0.394106 998.652000
19.310192 188.031000 -0.379340 1049.590000
19.310192 189.017000 -0.364026 1102.930000
19.310192 190.332000 -0.342136 1194.130000
19.310192 184.729000 -0.446071 798.199000
20.186492 161.945000 -0.516013 875.748000
20.186492 162.267000 -0.510894 905.229000
20.186492 162.457000 -0.501867 929.200000
20.186492 163.077000 -0.494588 949.205000
20.186492 163.334000 -0.488413 975.734000
20.186492 160.793000 -0.533994 803.803000
20.186492 163.416000 -0.481689 1001.390000
20.186492 164.965000 -0.458946 1099.040000
21.587784 129.386000 -0.653201 805.573000
21.587784 130.847000 -0.625368 896.651000
21.587784 131.493000 -0.613814 950.392000
21.587784 132.126000 -0.600191 998.891000
21.587784 132.811000 -0.588392 1046.010000
21.587784 133.650000 -0.574773 1098.560000
23.020654 104.429000 -0.745566 802.620000
23.020654 105.997000 -0.719805 899.526000
23.020654 106.445000 -0.706330 946.631000
23.020654 107.174000 -0.696767 1000.820000
23.020654 107.779000 -0.681669 1042.130000
23.020654 108.630000 -0.666420 1097.640000
24.635099 80.576700 -0.859806 688.367000
