#volume(A^3/atom) P(kBar) E(eV/atom) T(k)
13.858970 492.693000 0.371390 199.107000
13.858970 492.868000 0.396824 298.075000
13.858970 492.911000 0.422527 397.544000
13.858970 493.001000 0.449336 497.201000
14.482644 433.229000 0.190387 198.461000
14.482644 433.513000 0.215958 297.821000
14.482644 433.784000 0.242436 398.474000
14.668167 417.220000 0.140869 197.566000
14.668167 417.843000 0.167074 298.425000
14.668167 418.364000 0.192934 397.415000
14.668167 418.764000 0.219961 497.386000
14.668167 419.407000 0.246275 597.289000
14.668167 419.934000 0.274826 696.423000
15.291840 369.380000 0.014588 298.431000
15.291840 369.885000 0.040717 397.903000
15.291840 370.749000 0.067053 497.917000
15.291840 371.659000 0.093534 596.824000
15.291840 372.441000 0.121565 696.244000
15.915514 326.912000 -0.146423 199.447000
15.915514 327.417000 -0.121428 297.742000
15.915514 328.258000 -0.095274 397.919000
15.915514 329.641000 -0.068134 498.390000
15.915514 330.290000 -0.041552 596.858000
15.915514 330.986000 -0.013772 696.599000
15.915514 331.670000 0.001330 746.320000
16.689184 284.679000 -0.228122 449.157000
16.689184 285.571000 -0.215349 498.336000
16.689184 285.883000 -0.201622 549.134000
16.689184 286.481000 -0.187438 599.306000
16.689184 286.980000 -0.173805 647.779000
17.419435 249.507000 -0.346256 453.025000
17.419435 250.003000 -0.334564 498.770000
17.419435 251.148000 -0.308435 597.782000
17.419435 251.722000 -0.294250 648.721000
19.310192 179.531000 -0.591327 452.290000
19.310192 180.166000 -0.578804 501.458000
19.310192 180.718000 -0.565692 550.237000
19.310192 181.340000 -0.551916 602.157000
20.186492 154.185000 -0.693730 402.186000
20.186492 154.676000 -0.682502 446.175000
20.186492 155.286000 -0.667667 498.867000
20.186492 156.023000 -0.654366 551.785000
20.186492 156.784000 -0.640921 601.112000
21.587784 122.030000 -0.808192 405.787000
21.587784 122.627000 -0.798775 444.818000
21.587784 123.334000 -0.783940 499.033000
21.587784 124.105000 -0.770847 550.696000
21.587784 124.899000 -0.756931 599.666000
23.020654 96.535400 -0.902866 401.251000
23.020654 97.290200 -0.888294 455.483000
23.020654 97.964100 -0.875926 500.493000
23.020654 98.697700 -0.862898 550.294000
23.020654 99.417800 -0.849937 599.366000
24.635099 74.279600 -0.983229 401.109000
24.635099 75.015300 -0.969162 451.512000
24.635099 75.760600 -0.957096 498.313000
24.635099 76.586900 -0.942985 551.920000
24.635099 77.416500 -0.928221 601.780000
26.281123 56.917400 -1.045650 399.757000
26.281123 57.675600 -1.032000 449.823000
26.281123 58.318100 -1.019820 495.676000
26.281123 59.098200 -1.004790 551.282000
26.281123 59.905500 -0.991491 600.474000
31.965235 19.561200 -1.183690 292.511000
31.965235 20.425700 -1.168260 351.530000
31.965235 21.091400 -1.156370 398.127000
31.965235 21.835900 -1.143650 448.463000
31.965235 22.537500 -1.129810 500.038000
33.611260 14.360800 -1.182190 351.699000
33.611260 15.093600 -1.168830 401.647000
33.611260 15.954300 -1.154800 451.535000
36.666470 4.666930 -1.217750 252.725000
36.666470 5.392040 -1.205620 301.415000
36.666470 6.057920 -1.192970 350.156000
36.666470 6.740690 -1.179680 396.774000
36.666470 7.625010 -1.164820 447.514000
39.473000 -1.280200 -1.229230 197.143000
39.473000 -0.542313 -1.215710 249.576000
39.473000 0.219594 -1.203530 298.718000
